Gene	Human_CBC	Human_DFC	Human_STR	Human_MD	Human_HIP	Monkey_DCBC	Monkey_DDFC	Monkey_DSTR	Monkey_DMD	Monkey_DHIP	Monkey_CCBC	Monkey_CDFC	Monkey_CSTR	Monkey_CMD	Monkey_CHIP	Monkey_BCBC	Monkey_BDFC	Monkey_BSTR	Monkey_BMD	Monkey_BHIP	Mouse_CBC	Mouse_DFC	Mouse_STR	Mouse_MD	Mouse_HIP
AAK1	0.675005160974524	1.04738181232744	1.07192787273617	1.09355418645179	1.02033431105738	0.808876216870993	1.03732733264015	0.967357098677498	1.04405080330026	1.03746439811649	0.747202386807168	0.847458041612698	0.940916838166328	0.951703287540794	1.02935785282982	0.786995279407957	0.810265583845656	0.815270882462631	0.890241874428419	0.853092218638555	1.32574088120613	1.87456802278621	1.76460092537791	1.75277261863571	1.83947774384452
AARS2	-0.800151743730732	-0.599847804100379	-0.413633971751464	-1.51322068292506	-1.54144150422694	0.133413395643663	0.0411626212931576	0.135920176893874	0.108150702285597	0.125952041235495	-0.0300129412861764	-0.0290978426335157	-0.0776240717050714	-0.00420784823369383	-0.114038160758677	0.0510083976863772	-0.0580938304380859	-0.0273082917823378	0.000461749496450617	-0.0478157714151465	-0.128600923716076	-0.649188673851241	-0.353943556101855	-0.319576236259465	-0.413460111551304
AASDHPPT	0.20231441633728	1.20763607115673	1.06957487101951	0.760972784511778	0.741701653968244	0.363160732031635	0.489314072419392	0.510480003961041	0.436331773319971	0.490213908663235	0.447007147689649	0.624220791077424	0.609367386659655	0.605325617824386	0.591114501694419	0.533112120999548	0.654220295243575	0.637436792003045	0.664701529050062	0.582064922249774	-1.06855720475995	-0.846296777263967	-1.15360882549761	-1.03498372087619	-1.06098816862936
AASS	-0.356026743479408	-0.521910853811165	-0.446085180449245	-1.18802676442123	-1.21197233417322	0.404863400257969	0.428440203560551	0.542777605882427	0.434561327546372	0.48171401325705	0.602421904711202	0.400908552490313	0.526077997858188	0.48520023172113	0.59075122725592	0.597668824585139	0.132212187304445	0.495389723601143	0.421737224946091	0.577324147612399	-0.391344608574797	-0.691702186352024	-1.0171730449372	-0.424554508458657	-0.796612808047192
ABAT	1.86315495277623	1.71116273117218	1.99533241654364	1.79757802428052	1.82442742711908	1.25306081657376	1.1919776672119	1.22803932969815	1.41185675951072	1.13856796256138	1.12549932828371	0.89057525054135	1.18533238782668	1.17829964168644	1.17576002740462	1.03162117656156	0.684093062119677	0.969651659847063	1.11792617332087	0.904668042097009	2.29160146920791	2.04075720801655	2.4657292421467	2.52650136558532	2.15366295497115
ABCA2	-1.16647278338028	-0.761005364734736	-1.21923193747206	-1.18007069495387	-1.20391166804404	0.310451505696536	0.311571270809596	0.307269154628404	0.272316756483016	0.33783120835108	-0.128038713323962	0.130500647112515	0.0865275052802679	0.175740146956253	0.29616979595105	-0.2268308995658	-0.422810443128652	-0.124329181128514	0.0323430678940036	-0.036702030707406	-1.33870212017807	-0.502323812484897	-1.05886175566399	-0.3856736669034	-0.873243347346369
ABCA5	-1.16801522531806	-1.25270962365909	-1.22078596827104	-1.18160602777468	-1.20546718554128	0.231458585037465	0.310957967029911	0.310391869740933	0.313153797435204	0.233631256753489	-0.0435332381652368	0.148214897046263	0.105845117865722	0.319118973724538	0.149152295455339	0.0409658881744963	-2.81694269260871	0.13358264179479	0.0566514111221174	-0.746380276985153	-1.44601996328938	-0.884945424991952	-1.10434034918413	-0.401226003525502	-0.8425911316267
ABCB6	-1.15442861434024	-1.23887191205072	-1.20709727672545	-0.560774659256892	-1.19176539840326	0.32864418065824	0.386833951242844	0.434161634618517	0.488973240236211	0.381815610899081	0.304657930430673	0.354543699019629	0.343241099715832	0.465750809361394	0.39162905411268	0.218144715611741	0.241161277402727	0.146297766340117	0.292346189491392	0.233401900816044	-0.927933824131338	-0.799918399990384	-0.80493960850989	-0.941669701143568	-0.888569455206207
ABCB7	-0.568605891950659	-0.550749163217321	-0.416275190107366	-0.721937773421273	-0.515581153674648	0.277484584692308	0.357157296603949	0.440477551525108	0.323669797058611	0.397464810214929	0.17890130732985	0.287985369976877	0.261860639666794	0.312001878912439	0.327146642072789	0.0607393265358881	0.162037504646104	0.0461555846653161	0.0194113876452575	0.0519282160811918	-0.443153222490601	0.386595085258769	0.612476556201078	0.44637634237909	0.812628517235537
ABCB8	-0.679498182857836	-0.113415268988769	-0.0112959210135248	0.218439259674404	-0.422481275725098	0.116526599745504	0.397118720718847	0.512343676431378	0.376538263936777	0.471625378343414	0.0756150904673175	0.362240779387997	0.255616602167238	0.358834157764081	0.360854175629327	-0.133135155124386	0.0455255686392534	0.11064230080905	0.125024940793551	0.0359117398030359	-0.839119057418532	-0.0539994988402657	0.127371558652939	-0.0396341770616166	0.264720161246418
