Sample	Species	Brain	Sex	Region	NCXRegion	Age	Days	Period	Predicted age (PC Days)	Predicted period
HSB126.HIP	Human	HSB126	F	HIP	HIP	30 Y	11224	13	11224.000	13
HSB126.MD	Human	HSB126	F	MD	MD	30 Y	11224	13	11224.000	13
HSB126.A1C	Human	HSB126	F	A1C	NCX	30 Y	11224	13	11224.000	13
HSB126.DFC	Human	HSB126	F	DFC	NCX	30 Y	11224	13	11224.000	13
HSB126.IPC	Human	HSB126	F	IPC	NCX	30 Y	11224	13	11224.000	13
HSB126.ITC	Human	HSB126	F	ITC	NCX	30 Y	11224	13	11224.000	13
HSB126.M1C	Human	HSB126	F	M1C	NCX	30 Y	11224	13	11224.000	13
HSB126.MFC	Human	HSB126	F	MFC	NCX	30 Y	11224	13	11224.000	13
HSB126.OFC	Human	HSB126	F	OFC	NCX	30 Y	11224	13	11224.000	13
HSB126.S1C	Human	HSB126	F	S1C	NCX	30 Y	11224	13	11224.000	13
HSB126.STC	Human	HSB126	F	STC	NCX	30 Y	11224	13	11224.000	13
HSB126.V1C	Human	HSB126	F	V1C	NCX	30 Y	11224	13	11224.000	13
HSB126.VFC	Human	HSB126	F	VFC	NCX	30 Y	11224	13	11224.000	13
HSB145.AMY	Human	HSB145	M	AMY	AMY	36 Y	13415	13	13415.000	13
HSB145.CBC	Human	HSB145	M	CBC	CBC	36 Y	13415	13	13415.000	13
HSB145.HIP	Human	HSB145	M	HIP	HIP	36 Y	13415	13	13415.000	13
HSB145.MD	Human	HSB145	M	MD	MD	36 Y	13415	13	13415.000	13
HSB145.A1C	Human	HSB145	M	A1C	NCX	36 Y	13415	13	13415.000	13
HSB145.DFC	Human	HSB145	M	DFC	NCX	36 Y	13415	13	13415.000	13
HSB145.IPC	Human	HSB145	M	IPC	NCX	36 Y	13415	13	13415.000	13
HSB145.ITC	Human	HSB145	M	ITC	NCX	36 Y	13415	13	13415.000	13
HSB145.M1C	Human	HSB145	M	M1C	NCX	36 Y	13415	13	13415.000	13
HSB145.MFC	Human	HSB145	M	MFC	NCX	36 Y	13415	13	13415.000	13
HSB145.OFC	Human	HSB145	M	OFC	NCX	36 Y	13415	13	13415.000	13
HSB145.S1C	Human	HSB145	M	S1C	NCX	36 Y	13415	13	13415.000	13
HSB145.STC	Human	HSB145	M	STC	NCX	36 Y	13415	13	13415.000	13
HSB145.V1C	Human	HSB145	M	V1C	NCX	36 Y	13415	13	13415.000	13
HSB145.VFC	Human	HSB145	M	VFC	NCX	36 Y	13415	13	13415.000	13
HSB145.STR	Human	HSB145	M	STR	STR	36 Y	13415	13	13415.000	13
HSB123.AMY	Human	HSB123	M	AMY	AMY	37 Y	13780	13	13780.000	13
HSB123.CBC	Human	HSB123	M	CBC	CBC	37 Y	13780	13	13780.000	13
HSB123.HIP	Human	HSB123	M	HIP	HIP	37 Y	13780	13	13780.000	13
HSB123.MD	Human	HSB123	M	MD	MD	37 Y	13780	13	13780.000	13
HSB123.A1C	Human	HSB123	M	A1C	NCX	37 Y	13780	13	13780.000	13
HSB123.DFC	Human	HSB123	M	DFC	NCX	37 Y	13780	13	13780.000	13
HSB123.IPC	Human	HSB123	M	IPC	NCX	37 Y	13780	13	13780.000	13
HSB123.ITC	Human	HSB123	M	ITC	NCX	37 Y	13780	13	13780.000	13
HSB123.M1C	Human	HSB123	M	M1C	NCX	37 Y	13780	13	13780.000	13
HSB123.MFC	Human	HSB123	M	MFC	NCX	37 Y	13780	13	13780.000	13
HSB123.OFC	Human	HSB123	M	OFC	NCX	37 Y	13780	13	13780.000	13
HSB123.S1C	Human	HSB123	M	S1C	NCX	37 Y	13780	13	13780.000	13
HSB123.STC	Human	HSB123	M	STC	NCX	37 Y	13780	13	13780.000	13
HSB123.V1C	Human	HSB123	M	V1C	NCX	37 Y	13780	13	13780.000	13
HSB123.VFC	Human	HSB123	M	VFC	NCX	37 Y	13780	13	13780.000	13
HSB123.STR	Human	HSB123	M	STR	STR	37 Y	13780	13	13780.000	13
HSB135.CBC	Human	HSB135	F	CBC	CBC	40 Y	14876	13	14876.000	13
HSB135.A1C	Human	HSB135	F	A1C	NCX	40 Y	14876	13	14876.000	13
HSB135.DFC	Human	HSB135	F	DFC	NCX	40 Y	14876	13	14876.000	13
HSB135.IPC	Human	HSB135	F	IPC	NCX	40 Y	14876	13	14876.000	13
HSB135.ITC	Human	HSB135	F	ITC	NCX	40 Y	14876	13	14876.000	13
HSB135.M1C	Human	HSB135	F	M1C	NCX	40 Y	14876	13	14876.000	13
HSB135.OFC	Human	HSB135	F	OFC	NCX	40 Y	14876	13	14876.000	13
HSB135.S1C	Human	HSB135	F	S1C	NCX	40 Y	14876	13	14876.000	13
HSB135.STC	Human	HSB135	F	STC	NCX	40 Y	14876	13	14876.000	13
HSB135.V1C	Human	HSB135	F	V1C	NCX	40 Y	14876	13	14876.000	13
HSB135.VFC	Human	HSB135	F	VFC	NCX	40 Y	14876	13	14876.000	13
HSB135.STR	Human	HSB135	F	STR	STR	40 Y	14876	13	14876.000	13
