ENSG00000006432	MAP3K9	Nucleoli
ENSG00000006432	MAP3K9	Nucleoplasm
ENSG00000006451	RALA	Plasma membrane
ENSG00000006453	BAIAP2L1	Plasma membrane
ENSG00000006459	KDM7A	Nucleoplasm
ENSG00000006468	ETV1	Nucleoplasm
ENSG00000006530	AGK	Mitochondria
ENSG00000006576	PHTF2	Nucleoplasm
ENSG00000006607	FARP2	Cytosol
ENSG00000006611	USH1C	Cytosol
ENSG00000006634	DBF4	Nuclear bodies
ENSG00000006634	DBF4	Nucleoplasm
ENSG00000006638	TBXA2R	Plasma membrane
ENSG00000006652	IFRD1	Cytosol
ENSG00000006652	IFRD1	Plasma membrane
ENSG00000006659	LGALS14	Nucleoplasm
ENSG00000006695	COX10	Mitochondria
ENSG00000006704	GTF2IRD1	Nucleoplasm
ENSG00000006712	PAF1	Nucleoplasm
ENSG00000006744	ELAC2	Nucleoplasm
ENSG00000006747	SCIN	Plasma membrane
ENSG00000006756	ARSD	Lipid droplets
ENSG00000006756	ARSD	Vesicles
ENSG00000006837	CDKL3	Nucleoplasm
ENSG00000006837	CDKL3	Vesicles
ENSG00000007001	UPP2	Nucleoplasm
ENSG00000007038	PRSS21	Cytosol
ENSG00000007047	MARK4	Cytosol
ENSG00000007080	CCDC124	Cytosol
ENSG00000007080	CCDC124	Plasma membrane
ENSG00000007168	PAFAH1B1	Centrosome
ENSG00000007202	KIAA0100	Cytosol
ENSG00000007202	KIAA0100	Nuclear speckles
ENSG00000007237	GAS7	Plasma membrane
ENSG00000007264	MATK	Microtubules
ENSG00000007312	CD79B	Plasma membrane
ENSG00000007314	SCN4A	Nucleoplasm
ENSG00000007341	ST7L	Centrosome
ENSG00000007350	TKTL1	Cytosol
ENSG00000007372	PAX6	Nucleoplasm
ENSG00000007376	RPUSD1	Golgi apparatus
ENSG00000007384	RHBDF1	Vesicles
ENSG00000007392	LUC7L	Nucleoplasm
ENSG00000007402	CACNA2D2	Vesicles
ENSG00000007520	TSR3	Cytosol
ENSG00000007541	PIGQ	Golgi apparatus
ENSG00000007541	PIGQ	Vesicles
ENSG00000007545	CRAMP1	Nucleoplasm
ENSG00000007923	DNAJC11	Mitochondria
ENSG00000008018	PSMB1	Nucleoplasm
ENSG00000008083	JARID2	Mitochondria
ENSG00000008083	JARID2	Nucleoplasm
ENSG00000008086	CDKL5	Nucleoplasm
ENSG00000008128	CDK11A	Nuclear speckles
ENSG00000008130	NADK	Nucleoplasm
ENSG00000008196	TFAP2B	Nucleoplasm
ENSG00000008197	TFAP2D	Nucleoplasm
ENSG00000008226	DLEC1	Cytosol
ENSG00000008256	CYTH3	Cytosol
ENSG00000008277	ADAM22	Cell Junctions
ENSG00000008294	SPAG9	Centriolar satellite
ENSG00000008294	SPAG9	Cytosol
ENSG00000008311	AASS	Mitochondria
ENSG00000008323	PLEKHG6	Cell Junctions
ENSG00000008324	SS18L2	Mitochondria
ENSG00000008324	SS18L2	Nucleoli
ENSG00000008382	MPND	Nucleoli rim
ENSG00000008394	MGST1	Mitochondria
ENSG00000008405	CRY1	Microtubules
ENSG00000008405	CRY1	Nuclear membrane
ENSG00000008405	CRY1	Nucleoplasm
ENSG00000008438	PGLYRP1	Vesicles
ENSG00000008441	NFIX	Nucleoplasm
ENSG00000008516	MMP25	Plasma membrane
ENSG00000008853	RHOBTB2	Plasma membrane
ENSG00000008869	HEATR5B	Nuclear speckles
ENSG00000008952	SEC62	Endoplasmic reticulum
ENSG00000008988	RPS20	Cytosol
ENSG00000008988	RPS20	Endoplasmic reticulum
ENSG00000009307	CSDE1	Cytosol
ENSG00000009307	CSDE1	Plasma membrane
ENSG00000009335	UBE3C	Mitochondria
ENSG00000009335	UBE3C	Nucleoplasm
ENSG00000009413	REV3L	Nucleoplasm
ENSG00000009724	MASP2	Golgi apparatus
ENSG00000009765	IYD	Plasma membrane
ENSG00000009780	FAM76A	Cytosol
ENSG00000009780	FAM76A	Nucleoplasm
ENSG00000009790	TRAF3IP3	Vesicles
ENSG00000009830	POMT2	Nucleoplasm
ENSG00000009844	VTA1	Cytosol
ENSG00000009844	VTA1	Nucleoplasm
ENSG00000009844	VTA1	Vesicles
ENSG00000009950	MLXIPL	Nucleoplasm
ENSG00000009954	BAZ1B	Nuclear bodies
ENSG00000010017	RANBP9	Nucleoplasm
ENSG00000010030	ETV7	Nucleoplasm
ENSG00000010072	SPRTN	Nucleoplasm
ENSG00000010165	METTL13	Cytosol
ENSG00000010219	DYRK4	Vesicles
ENSG00000010244	ZNF207	Nucleoplasm
ENSG00000010256	UQCRC1	Mitochondria
ENSG00000010270	STARD3NL	Vesicles
ENSG00000010278	CD9	Plasma membrane
ENSG00000010292	NCAPD2	Cytosol
ENSG00000010318	PHF7	Nucleoplasm
ENSG00000010322	NISCH	Cytosol
ENSG00000010322	NISCH	Nucleoplasm
ENSG00000010327	STAB1	Cytosol
ENSG00000010361	FUZ	Cytosol
ENSG00000010379	SLC6A13	Mitochondria
ENSG00000010438	PRSS3	Vesicles
ENSG00000010539	ZNF200	Mitochondria
ENSG00000010610	CD4	Plasma membrane
ENSG00000010626	LRRC23	Nucleoli
ENSG00000010626	LRRC23	Nucleoli rim
ENSG00000010671	BTK	Cytosol
ENSG00000010671	BTK	Plasma membrane
ENSG00000010704	HFE	Plasma membrane
ENSG00000010803	SCMH1	Nucleoplasm
ENSG00000010810	FYN	Plasma membrane
ENSG00000010818	HIVEP2	Nucleoplasm
ENSG00000011007	ELOA	Nuclear speckles
ENSG00000011009	LYPLA2	Cytosol
ENSG00000011021	CLCN6	Cytosol
ENSG00000011021	CLCN6	Plasma membrane
ENSG00000011052	NME1-NME2	Cytosol
ENSG00000011105	TSPAN9	Golgi apparatus
ENSG00000011105	TSPAN9	Nucleoplasm
ENSG00000011114	BTBD7	Focal adhesion sites
ENSG00000011132	APBA3	Vesicles
ENSG00000011198	ABHD5	Cytosol
ENSG00000011198	ABHD5	Vesicles
ENSG00000011243	AKAP8L	Nuclear speckles
ENSG00000011258	MBTD1	Nucleoplasm
ENSG00000011260	UTP18	Nucleoli
ENSG00000011260	UTP18	Nucleoli rim
ENSG00000011275	RNF216	Cytosol
ENSG00000011295	TTC19	Mitochondria
ENSG00000011304	PTBP1	Nucleoplasm
ENSG00000011332	DPF1	Cytosol
ENSG00000011332	DPF1	Nucleoplasm
ENSG00000011376	LARS2	Mitochondria
ENSG00000011405	PIK3C2A	Nucleoplasm
ENSG00000011422	PLAUR	Plasma membrane
ENSG00000011426	ANLN	Nucleoplasm
ENSG00000011451	WIZ	Nucleoplasm
ENSG00000011454	RABGAP1	Cytosol
ENSG00000011478	QPCTL	Golgi apparatus
ENSG00000011485	PPP5C	Cytosol
ENSG00000011485	PPP5C	Vesicles
ENSG00000011523	CEP68	Centriolar satellite
ENSG00000011523	CEP68	Nucleoplasm
ENSG00000011566	MAP4K3	Centriolar satellite
ENSG00000011600	TYROBP	Plasma membrane
ENSG00000011638	TMEM159	Vesicles
